default_flag,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,discoverymethod_encoded,soltype_encoded,disc_facility_encoded,st_metratio_encoded,pl_rade_st_ratio,st_density_est,pl_density_est,pl_eq_temp,vmag_minus_kmag,vmag_minus_gaiamag,pl_orbper_uncertainty,pl_rade_uncertainty,st_teff_uncertainty,st_rad_uncertainty,st_mass_uncertainty,sy_dist_uncertainty,sy_vmag_uncertainty,sy_kmag_uncertainty,sy_gaiamag_uncertainty
0,1,1,0,5.17222,0.00014,-0.00013,0.0,2.12,0.1,-0.17,0.0,0.189,0.009,-0.015,0.0,0,5131.28215352553,110.70379176379178,-110.14726635514019,0.0,0.639,0.012,-0.021,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,58.7967878,23.7567524,190.81,2.126,-2.08,12.939,0.103,-0.103,10.555,0.019,-0.019,12.691,0.00038,-0.00038,2,0,3,3,3.3176838810641627,3.3448563949282795,0.01983600556163813,836.6957721639633,2.3840000000000003,0.24799999999999933,0.00026999999999999995,0.27,220.85105811893197,0.033,0.204012619506448,4.2059999999999995,0.206,0.038,0.00076
1,1,0,0,2.475573,4.8e-05,-4.2e-05,0.0,2.98,0.57,-3.81,0.0,0.266,0.051,-0.34,0.0,0,5131.28215352553,110.70379176379178,-110.14726635514019,0.0,0.888,0.033,-0.033,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,333.9249669,-16.5636911,239.559,3.44,-3.345,12.67,0.08,-0.08,10.648,0.021,-0.021,12.4017,0.000221,-0.000221,2,0,3,3,3.355855855855856,1.2463532601513199,0.010051545534710481,1260.9292297441193,2.0220000000000002,0.2683,8.999999999999999e-05,4.38,220.85105811893197,0.066,0.204012619506448,6.785,0.16,0.042,0.000442
1,1,1,0,20.5065,0.0035,-0.0035,0.0,2.24,0.24,-0.24,0.0,0.19983941,0.02141137,-0.02141137,0.0,0,4899.0,78.0,-78.0,0.0,0.73,0.02,-0.02,0.0,0.77,0.02,-0.02,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.603,0.025,-0.025,0.0,176.1233077,3.2723812,313.764,2.856,-2.856,14.345,0.08,-0.08,11.838,0.027,-0.027,13.9677,0.000622,-0.000622,2,1,3,3,3.068493150684932,1.9793479462337125,0.017780218096585726,550.8332601893638,2.5070000000000014,0.37729999999999997,0.007,0.48,156.0,0.04,0.04,5.712,0.16,0.054,0.001244
1,1,0,0,0.19785,1e-05,-1e-05,0.0,0.72,0.1,-0.08,0.0,0.064,0.009,-0.007,0.0,0,3677.0,157.0,-157.0,0.0,0.469901,0.014309,-0.014309,0.0,0.467536,0.020541,-0.020541,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.76387,0.007365,-0.007365,0.0,133.1218879,9.9628828,90.1613,0.29605,-0.29605,14.65,0.027,-0.027,10.608,0.028,-0.028,13.8259,0.000269,-0.000269,2,0,3,3,1.5322376415457724,4.506049405898651,0.17146776406035666,1693.2166928042718,4.042,0.8240999999999996,2e-05,0.18,314.0,0.028618,0.041082,0.5921,0.054,0.056,0.000538
0,1,1,0,6.413766,0.000301,-0.000303,0.0,3.03,0.12,-0.12,0.0,0.27031849,0.01070568,-0.01070568,0.0,0,3560.0,51.0,-51.0,0.0,0.41,0.01,-0.01,0.0,0.43,0.01,-0.01,0.0,-0.08,0.14,-0.14,0.0,4.85,0.01,-0.01,0.0,133.6410515,23.1329509,140.385,1.32,-1.296,16.692,0.183,-0.183,11.975,0.018,-0.018,15.4618,0.00053,-0.00053,2,1,3,0,7.390243902439025,6.239027292117063,0.009717350488765835,486.99339157577356,4.7170000000000005,1.2302,0.0006039999999999999,0.24,102.0,0.02,0.02,2.616,0.366,0.036,0.00106
0,1,1,0,15.387063,0.001815,-0.001876,0.0,2.39,0.13,-0.13,0.0,0.21322152,0.01159782,-0.01159782,0.0,0,6058.0,89.0,-89.0,0.0,1.09,0.02,-0.02,0.0,1.0,0.04,-0.04,0.0,-0.21,0.06,-0.06,0.0,4.37,0.03,-0.03,0.0,16.4625203,11.7537171,101.321,0.632,-0.625,9.543,0.004,-0.004,8.105,0.017,-0.017,9.36072,0.000292,-0.000292,2,1,3,0,2.1926605504587156,0.7721834800610642,0.015618428442184574,876.9083292681421,1.4379999999999988,0.18227999999999867,0.003691,0.26,178.0,0.04,0.08,1.2570000000000001,0.008,0.034,0.000584
0,1,2,0,13.7311,0.0014,-0.0014,0.0,2.04,0.33,-0.33,0.0,0.18199661,0.02944063,-0.02944063,0.0,0,4136.0,164.0,-164.0,0.0,0.494,0.07,-0.07,0.0,0.562,0.071,-0.071,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.791,0.066,-0.066,0.0,59.1527391,22.4724517,134.188,0.421,-0.419,13.707,0.103,-0.103,10.36,0.02,-0.02,13.2292,0.00024,-0.00024,2,1,3,3,4.129554655870446,4.66181965719135,0.021437433801855997,460.83957048941863,3.3470000000000013,0.4778000000000002,0.0028,0.66,328.0,0.14,0.142,0.84,0.206,0.04,0.00048
0,1,1,0,9.173866,0.001534,-0.001426,0.0,6.86473931,0.88913021,-0.69021396,0.0,0.61243102,0.07932288,-0.06157677,0.0,0,5035.0,50.0,-50.0,0.0,2.162531,0.257771,-0.204515,0.0,0.984438,0.071592,-0.039083,0.0,0.07,0.08,-0.08,0.0,3.8,0.1,-0.1,0.0,182.1662666,-8.7472172,609.818,17.942,-16.962,12.071,0.069,-0.069,9.54,0.023,-0.023,11.64,0.000572,-0.000572,2,1,3,0,3.1744004178437213,0.09734224182607253,0.0018931500248406783,1222.912473409036,2.5310000000000006,0.43099999999999916,0.00296,1.5793441700000002,100.0,0.462286,0.110675,34.903999999999996,0.138,0.046,0.001144
1,1,1,0,7.51574,0.00205,-0.0024,0.0,2.0,0.21,-0.18,0.0,0.17842805,0.01873495,-0.01605852,0.0,0,3845.0,37.0,-37.0,0.0,0.53,0.01,-0.01,0.0,0.55,0.01,-0.01,0.0,-0.09,0.08,-0.08,0.0,4.73,0.01,-0.01,0.0,183.8088709,2.0208765,143.125,0.915,-0.903,14.96,0.045,-0.045,11.207,0.023,-0.023,14.2706,0.000372,-0.000372,2,1,3,0,3.773584905660377,3.6943248453421282,0.02230350625,544.4360018671708,3.753,0.6894000000000009,0.00445,0.39,74.0,0.02,0.02,1.818,0.09,0.046,0.000744
0,1,2,0,10.00102551,14.268843937306421,-9.196982863426268,0.0,8.452526263603803,2.8673039017688025,-2.7908881804387184,0.0003169572107765452,0.7544661086053883,0.25681901184192196,-0.24880599625696379,0.0003169572107765452,0,3848.0,157.0,-157.0,0.0,0.562821,0.01664,-0.01664,0.0,0.556642,0.020236,-0.020236,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.6829,0.009893,-0.009893,0.0,59.9013782,15.5587994,125.529,0.516,-0.512,14.522,0.015,-0.015,10.765,0.018,-0.018,13.8042,0.000341,-0.000341,2,0,3,3,15.018143003910305,3.1222314309606047,0.001249338573167173,509.4555420472559,3.7569999999999997,0.7178000000000004,23.46582680073269,5.6581920822075205,314.0,0.03328,0.040472,1.028,0.03,0.036,0.000682
