default_flag,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,discoverymethod_encoded,soltype_encoded,disc_facility_encoded,st_metratio_encoded,pl_rade_st_ratio,st_density_est,pl_density_est,pl_eq_temp,vmag_minus_kmag,vmag_minus_gaiamag,pl_orbper_uncertainty,pl_rade_uncertainty,st_teff_uncertainty,st_rad_uncertainty,st_mass_uncertainty,sy_dist_uncertainty,sy_vmag_uncertainty,sy_kmag_uncertainty,sy_gaiamag_uncertainty
0,1,1,0,7.7285,0.00053,-0.00053,0.0,2.16,0.14,-0.31,0.0,0.193,0.012,-0.028,0.0,0,5131.28215352553,110.70379176379178,-110.14726635514019,0.0,0.589,0.013,-0.032,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.43702004688832,0.08070892459016393,-0.0825079306791569,0.0,132.0098683,16.9017663,365.581,4.37,-4.27,14.818,0.172,-0.172,12.174,0.02,-0.02,14.5103,0.000285,-0.000285,2,0,3,3,3.6672325976230904,4.271045194744033,0.019151202814611593,702.6440701978739,2.644,0.30769999999999875,0.00106,0.45,220.85105811893197,0.045,0.204012619506448,8.64,0.344,0.04,0.00057
0,1,0,0,1.082361,5.7e-05,-5.2e-05,0.0,7.158,1.425,-0.595,0.0,0.63859509,0.1271302,-0.05308244,0.0,0,5556.0,138.0,-138.0,0.0,1.721,0.123,-0.114,0.0,1.159,0.53,-0.351,0.0,-0.376,0.235,-0.235,0.0,4.032,0.15,-0.15,0.0,348.6795029,-2.4404113,189.955,2.2835,-2.2835,16.77,0.2,-0.2,12.304,0.023,-0.023,15.7507,0.000967,-0.000967,2,0,3,0,4.159209761766415,0.22737401201531107,0.0017412073545476276,2388.608512624194,4.465999999999999,1.0192999999999994,0.00010899999999999999,2.02,276.0,0.237,0.881,4.567,0.4,0.046,0.001934
1,1,0,0,3.607981,14.268843937306421,-9.196982863426268,0.0,18.3,2.8673039017688025,-2.7908881804387184,0.0,1.63,0.25681901184192196,-0.24880599625696379,0.0,0,6490.0,210.0,-210.0,0.0,2.253,0.081,-0.081,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,3.928,0.042,-0.042,0.0,133.1478987,17.4997633,330.387,23.615845882179283,-18.96617722758991,12.857,0.126,-0.126,11.091,0.028,-0.028,12.835469933520123,0.000692990040753948,-0.000692990040753948,2,0,3,3,8.122503328894807,0.07631263967822415,0.0002659710300437938,2240.547341393432,1.766,0.021530066479876098,23.46582680073269,5.6581920822075205,420.0,0.162,0.204012619506448,42.582023109769196,0.252,0.056,0.001385980081507896
1,1,0,0,9.967689,0.007766,-0.00323,0.0,2.005,0.068,-0.075,0.0,0.17887443,0.00606656,-0.00669106,0.0,0,5882.0,25.0,-25.0,0.0,1.031,0.018,-0.017,0.0,1.103,0.122,-0.107,0.0,0.113,0.023,-0.023,0.0,4.455,0.042,-0.042,0.0,129.3084996,11.7716683,233.606,2.402,-2.355,11.802,0.028,-0.028,10.039,0.021,-0.021,11.4706,0.001254,-0.001254,2,0,3,0,1.944713870029098,1.0064669461459004,0.022192443965179873,941.5076697702266,1.763,0.33140000000000036,0.010996,0.14300000000000002,50.0,0.035,0.22899999999999998,4.757,0.056,0.042,0.002508
1,1,0,0,20.016917,14.268843937306421,-9.196982863426268,0.0,8.452526263603803,2.8673039017688025,-2.7908881804387184,0.0003169572107765452,0.7544661086053883,0.25681901184192196,-0.24880599625696379,0.0003169572107765452,0,5790.0,130.0,-130.0,0.0,0.97,0.019,-0.019,0.0,0.872730294033413,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.451,0.037,-0.037,0.0,135.7319963,22.3033664,312.174,5.111,-4.951,12.461,0.069,-0.069,10.846,0.023,-0.023,12.3154,0.000665,-0.000665,2,0,3,3,8.713944601653404,0.9562354688189669,0.001249338573167173,740.8818359563746,1.6150000000000002,0.14559999999999995,23.46582680073269,5.6581920822075205,260.0,0.038,0.204012619506448,10.062,0.138,0.046,0.00133
0,1,1,0,7.125,14.268843937306421,-9.196982863426268,0.0,8.452526263603803,2.8673039017688025,-2.7908881804387184,0.0003169572107765452,0.7544661086053883,0.25681901184192196,-0.24880599625696379,0.0003169572107765452,0,5425.98,111.87,-96.32,0.0,0.894218,0.032763,-0.049222,0.0,0.945,0.10867,-0.12032,0.0,-0.5313,0.0135,-0.0135,0.0,4.51061,0.067862,-0.084742,0.0,204.7792935,-6.0417592,182.983,1.608,-1.579,11.491,0.025,-0.025,9.994,0.024,-0.024,11.5907,0.000243,-0.000243,2,0,3,1,9.452422411094165,1.3216047335923413,0.001249338573167173,928.2462912894229,1.4969999999999999,-0.09970000000000034,23.46582680073269,5.6581920822075205,208.19,0.081985,0.22899,3.1870000000000003,0.05,0.048,0.000486
0,1,2,0,2.588309,0.000221,-0.000207,0.0,1.52,0.09,-0.09,0.0,0.13560532,0.00802926,-0.00802926,0.0,0,5519.0,67.0,-67.0,0.0,0.87,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,0.0,0.05,-0.05,0.0,4.53,0.02,-0.02,0.0,203.6214411,-15.0365158,242.113,1.94,-1.91,12.398,0.033,-0.033,10.589,0.021,-0.021,12.2538,0.000208,-0.000208,2,1,3,0,1.7471264367816093,1.4274802088980612,0.038614104187928266,1306.3421058255663,1.8089999999999993,0.14419999999999966,0.000428,0.18,134.0,0.02,0.06,3.8499999999999996,0.066,0.042,0.000416
0,1,1,0,5.75,14.268843937306421,-9.196982863426268,0.0,8.452526263603803,2.8673039017688025,-2.7908881804387184,0.0003169572107765452,0.7544661086053883,0.25681901184192196,-0.24880599625696379,0.0003169572107765452,0,4678.76,62.94,-62.94,0.0,0.718666,0.1179946836892603,-0.12191487317829458,0.0,0.75,0.113325542503864,-0.090687077002584,0.0,-0.179,0.06,-0.06,0.0,4.60008,0.08070892459016393,-0.0825079306791569,0.0,130.082542,18.6929046,360.36,5.236,-5.236,14.487,0.206,-0.206,12.173,0.023,-0.023,14.3436,0.000523,-0.000523,2,0,3,1,11.761411091666785,2.020598222546543,0.001249338573167173,800.9862856825782,2.314,0.14339999999999975,23.46582680073269,5.6581920822075205,125.88,0.23990955686755489,0.204012619506448,10.472,0.412,0.046,0.001046
1,1,0,0,1.5271792,14.268843937306421,-9.196982863426268,0.0,8.452526263603803,2.8673039017688025,-2.7908881804387184,0.0003169572107765452,0.7544661086053883,0.25681901184192196,-0.24880599625696379,0.0003169572107765452,0,5359.0,122.0,-122.0,0.0,0.899453,0.1179946836892603,-0.12191487317829458,0.0,0.93,0.113325542503864,-0.090687077002584,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.49859,0.08070892459016393,-0.0825079306791569,0.0,245.8138614,-21.3461111,559.822,12.672,-12.132,15.154,0.08,-0.08,12.421,0.023,-0.023,14.6666,0.00029,-0.00029,2,0,3,3,9.397407383825284,1.2780490580348396,0.001249338573167173,1540.491917523258,2.7330000000000005,0.48739999999999917,23.46582680073269,5.6581920822075205,244.0,0.23990955686755489,0.204012619506448,24.804000000000002,0.16,0.046,0.00058
0,1,2,0,10.9324,0.0014,-0.0014,0.0,1.64,0.2,-0.2,0.0,0.146311,0.0178428,-0.0178428,0.0,0,4021.0,62.0,-62.0,0.0,0.462,0.038,-0.038,0.0,0.52,0.044,-0.044,0.0,-0.030312588652482268,0.09762811559301626,-0.09813744732089102,0.0,4.823,0.05,-0.05,0.0,169.3034598,-1.8778254,202.943,1.665,-1.639,14.974,0.275,-0.275,11.595,0.023,-0.023,14.339,0.000499,-0.000499,2,1,3,3,3.5497835497835495,5.27323853348478,0.033169997170673676,473.5649887968327,3.3789999999999996,0.6349999999999998,0.0028,0.4,124.0,0.076,0.088,3.3040000000000003,0.55,0.046,0.000998
