koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,planet_star_radius_ratio,planet_star_volume_ratio,transit_density_proxy,temp_ratio_planet_star
1,0,0,0,77.66967809,0.002147863706805708,-0.002147863706805708,151.0243323,0.009932560537870472,-0.009932560537870472,0.7351054776654712,1.9598606037321624,-0.3325574643249176,3.01,0.33994151372118553,-0.33994151372118553,23791.335898271922,123.19756311745333,-123.19756311745333,102.89177806760135,17.65768394739702,-33.02331377024236,1085.3858276274318,7745.737022611707,3750.6979097695553,-4043.5223682786964,259.8950005434192,1.0,5706.8232800782525,144.63555408970976,-162.2650589142165,4.310156613411586,0.12073790677220755,-0.14316051011433598,1.7287115530920552,0.36229221635883907,-0.39480595866314866,286.68253,38.54882,13.528,0.07753584009971617,-0.03506471111578519,0.1698812820587718,0.0005146620184902588
0,0,0,0,651.07431,0.01577,-0.01577,216.3882,0.0224,-0.0224,0.0343,0.4067,-0.0341,5.603,0.625,-0.625,153.7,26.2,-26.2,1.55,0.59,-0.35,234.0,0.71,0.81,-0.32,7.1,1.0,5696.0,156.0,-148.0,4.218,0.207,-0.219,1.261,0.482,-0.28,297.50919,39.88802,12.524,-0.08704168827279118,-0.035071453074364795,-0.28401507537145104,-0.9058320509118984
0,1,0,0,1.680425996,8.022e-06,-8.022e-06,132.33173,0.00669,-0.00669,0.646,0.048,-0.038,5.4548,0.018,-0.018,277250.0,816.0,-816.0,102.31,31.03,-25.37,2203.0,5564.77,4980.91,-2911.86,440.1,1.0,6844.0,190.0,-286.0,4.145,0.175,-0.175,1.629,0.494,-0.404,292.57278,45.757729,14.11,0.08681375705934391,-0.035063531650781174,2.6433204442950156,0.8010209727586821
0,0,0,0,6.714247798,8.395e-06,-8.395e-06,134.31703,0.00137,-0.00137,0.557,0.035,-0.094,3.3304,0.056,-0.056,32213.0,235.0,-235.0,14.78,1.77,-1.78,809.0,100.94,44.19,-33.07,145.9,1.0,5159.0,179.0,-179.0,4.508,0.102,-0.085,0.8,0.096,-0.096,299.08057,44.29501,17.376,-0.03834952731235514,-0.03507125149739565,0.27178111640326374,-0.20236747715469758
0,0,0,0,294.055263,0.007495,-0.007495,421.853,0.0149,-0.0149,0.0617,0.3971,-0.0617,14.32,0.377,-0.377,770.0,39.7,-39.7,2.8,1.29,-0.26,288.0,1.64,2.21,-0.47,21.1,2.0,6108.0,152.0,-200.0,4.453,0.049,-0.308,1.011,0.465,-0.095,286.24982,48.06094,14.827,-0.08269262990551925,-0.03507145245448812,-0.28249726648394735,-0.8689372822483116
0,0,1,0,12.49117388,7.771e-05,-7.771e-05,136.31491,0.00471,-0.00471,0.747,0.209,-0.522,2.848,0.161,-0.161,189.9,13.3,-13.3,1.36,0.36,-0.16,763.0,80.08,61.35,-24.58,17.0,1.0,5753.0,155.0,-155.0,4.461,0.094,-0.175,0.911,0.237,-0.11,287.13828,41.77771,14.521,-0.08629720417133893,-0.035071453027364044,-0.281753470697748,-0.34938499763775965
0,1,1,0,2.064900876,1.233e-06,-1.233e-06,132.874485,0.000474,-0.000474,1.253,0.063,-0.057,6.8769,0.0299,-0.0299,10939.0,36.8,-36.8,38.19,10.77,-3.86,1357.0,800.75,660.82,-226.81,364.0,1.0,5714.0,152.0,-169.0,4.501,0.062,-0.188,0.901,0.254,-0.091,298.75574,43.964642,14.597,0.02916190682133957,-0.03506901818348966,-0.19393176835999743,0.28799851927267184
0,0,0,0,48.04066636,0.002147863706805708,-0.002147863706805708,162.9114822,0.009932560537870472,-0.009932560537870472,0.7351054776654712,1.9598606037321624,-0.3325574643249176,1.62,0.33994151372118553,-0.33994151372118553,23791.335898271922,123.19756311745333,-123.19756311745333,102.89177806760135,17.65768394739702,-33.02331377024236,1085.3858276274318,7745.737022611707,3750.6979097695553,-4043.5223682786964,259.8950005434192,2.0,5706.8232800782525,144.63555408970976,-162.2650589142165,4.310156613411586,0.12073790677220755,-0.14316051011433598,1.7287115530920552,0.36229221635883907,-0.39480595866314866,292.79254,47.576721,12.877,0.07753584009971617,-0.03506471111578519,0.5606918999812514,0.0005146620184902588
0,0,0,0,5.3694084,0.0001019,-0.0001019,133.8117,0.0158,-0.0158,0.837,0.153,-0.638,3.949,0.571,-0.571,40.0,7.4,-7.4,0.62,0.19,-0.05,974.0,212.68,180.61,-51.21,8.0,1.0,5753.0,138.0,-156.0,4.538,0.048,-0.204,0.869,0.258,-0.069,284.73474,39.045361,13.786,-0.088497780152145,-0.03507145312213558,-0.28501214448190487,-0.12645047711242488
0,0,0,1,1.85447373,1.405e-05,-1.405e-05,132.50369,0.00642,-0.00642,0.514,0.425,-0.301,2.665,0.248,-0.248,306.8,22.3,-22.3,1.33,0.22,-0.1,1221.0,527.79,276.61,-129.11,18.9,1.0,5341.0,159.0,-159.0,4.609,0.032,-0.097,0.743,0.122,-0.057,298.71082,47.369911,15.699,-0.08545815362113761,-0.03507145295034628,-0.2789618881801671,0.23403449084837058
