koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,planet_star_radius_ratio,planet_star_volume_ratio,transit_density_proxy,temp_ratio_planet_star
0,0,0,0,80.2321467,0.0003914,-0.0003914,162.39301,0.00422,-0.00422,0.911,0.024,-0.622,4.656,0.128,-0.128,888.7,40.6,-40.6,3.24,0.38,-0.19,380.0,4.91,1.59,-0.81,24.9,1.0,5436.0,81.0,-81.0,4.505,0.039,-0.097,0.888,0.104,-0.052,282.86319,41.79668,14.32,-0.08021052434854012,-0.03507145158060459,-0.27459675887293383,-0.7306350666676593
0,1,0,0,16.434352831,1.105e-06,-1.105e-06,136.2884989,5.61e-05,-5.61e-05,0.572,0.009,-0.001,5.15682,0.00212,-0.00212,45700.0,26.1,-26.1,25.25,8.57,-7.02,789.0,91.8,126.36,-58.8,2171.4,1.0,5963.0,434.0,-530.0,4.322,0.205,-0.205,1.134,0.385,-0.315,282.90604,41.831841,13.814,-0.02764506081545924,-0.03507110014531441,0.22508370469230873,-0.35127238575121744
1,0,0,0,2.83401711,3.323e-05,-3.323e-05,133.5005,0.019,-0.019,0.2794,0.1708,-0.2794,5.938,0.885,-0.885,84.2,8.0,-8.0,0.93,0.41,-0.09,1381.0,859.57,1116.06,-249.35,11.5,2.0,6247.0,167.0,-210.0,4.458,0.051,-0.051,1.002,0.439,-0.098,291.56744,42.856178,15.036,-0.08789164874436337,-0.035071453108182334,-0.28477872043530683,0.18818656387186414
0,0,0,0,14.43348326,8.215e-05,-8.215e-05,143.60783,0.00492,-0.00492,1.185,67.19,-0.221,2.663,0.242,-0.242,526.8,43.3,-43.3,16.25,1.76,-1.18,558.0,22.91,8.4,-5.48,14.8,1.0,4915.0,133.0,-148.0,4.627,0.027,-0.063,0.702,0.076,-0.051,290.82437,45.355019,15.323,-0.025155273639049812,-0.035071056523208494,-0.2741962613831551,-0.46546082314781495
1,0,0,1,374.93999098,0.002147863706805708,-0.002147863706805708,137.9851608,0.009932560537870472,-0.009932560537870472,0.64,1.9598606037321624,-0.3325574643249176,17.0849,0.33994151372118553,-0.33994151372118553,235.1,123.19756311745333,-123.19756311745333,4.67,1.43,-3.1,381.0,4.99,4.63,-4.5,8.4,1.0,5382.0,169.0,-187.0,3.645,0.856,-0.214,2.909,0.89,-1.929,290.87735,44.861591,13.917,-0.08597957611120838,-0.03507145300145582,-0.284802875248152,-0.7252423964145773
0,0,0,0,7.28171395,2.914e-05,-2.914e-05,137.30085,0.00321,-0.00321,0.956,0.005,-0.663,1.723,0.11,-0.11,111.6,9.3,-9.3,2.59,1.47,-1.46,1086.0,329.68,589.5,-273.7,14.4,1.0,4970.0,164.0,-134.0,3.924,0.624,-0.336,1.806,1.02,-1.02,299.13779,43.498638,13.367,-0.08646309824662737,-0.03507145303943741,-0.2818633982554478,0.1726559775584387
0,0,1,1,2.17818699,1.527e-05,-1.527e-05,132.00477,0.00615,-0.00615,0.553,0.403,-0.349,2.686,0.166,-0.166,115.8,8.9,-8.9,1.03,0.27,-0.16,1347.0,776.45,601.66,-282.1,15.4,1.0,5584.0,166.0,-149.0,4.428,0.12,-0.18,0.932,0.239,-0.147,288.0498,46.35833,15.123,-0.08739188528397152,-0.035071453090588435,-0.2831114680668562,0.3107199050142105
0,0,1,0,2.065351521,8.985e-06,-8.985e-06,133.15601,0.00315,-0.00315,0.63,0.042,-0.469,2.661,0.109,-0.109,173.2,8.1,-8.1,1.03,0.14,-0.12,1196.0,485.51,213.29,-150.76,25.3,1.0,5266.0,158.0,-158.0,4.536,0.099,-0.09,0.749,0.098,-0.088,298.49808,42.466412,14.788,-0.0866295151669406,-0.03507145305059451,-0.2818450984927196,0.2249684478683657
0,0,1,0,2.27190723,1.299e-05,-1.299e-05,134.79852,0.00467,-0.00467,0.719,0.223,-0.446,5.383,0.176,-0.176,149.0,4.9,-4.9,1.12,0.29,-0.13,1318.0,714.27,551.84,-209.16,36.8,1.0,5788.0,155.0,-155.0,4.506,0.072,-0.168,0.856,0.225,-0.096,294.73419,40.86142,14.459,-0.08681799438309871,-0.03507145306212594,-0.2840007842922771,0.22858601956118454
0,0,1,0,1.576341127,2.21e-06,-2.21e-06,170.88145,0.00116,-0.00116,0.01,0.377,-0.01,3.1232,0.0396,-0.0396,335.1,4.5,-4.5,2.96,1.53,-1.53,1797.0,2460.7,3903.35,-1951.42,88.7,1.0,5087.0,151.0,-151.0,3.967,0.609,-0.261,1.666,0.861,-0.861,298.42087,44.950802,14.111,-0.08549578892386527,-0.035071452954412996,-0.2794129887483285,0.9916736573550903
0,0,1,1,4.85603482,6.356e-05,-6.356e-05,135.9933,0.0108,-0.0108,0.134,0.323,-0.134,3.078,0.283,-0.283,76.7,10.8,-10.8,1.05,0.36,-0.12,1266.0,607.42,600.39,-194.33,8.2,1.0,6469.0,158.0,-225.0,4.385,0.054,-0.216,1.193,0.41,-0.137,297.00977,47.121021,14.826,-0.08802719993601643,-0.03507145311194795,-0.28415988547817156,0.034016894391024816
0,0,0,0,20.72904234,6.301e-05,-6.301e-05,185.43113,0.0024,-0.0024,0.559,0.07,-0.446,2.8066,0.0756,-0.0756,561.7,19.0,-19.0,1.94,0.09,-0.09,530.0,18.68,3.14,-2.84,31.6,1.0,4979.0,82.0,-74.0,4.538,0.049,-0.036,0.803,0.037,-0.041,282.46811,43.889912,14.458,-0.08369097631417638,-0.03507145268285466,-0.274062951279,-0.5085137162589847
0,1,0,0,439.1076969,0.0005448,-0.0005448,222.7449,0.00109,-0.00109,0.7777,0.0059,-0.0086,26.2259,0.0613,-0.0613,69792.0,169.0,-169.0,24.7,10.93,-2.01,221.0,0.57,0.77,-0.15,884.9,1.0,5810.0,186.0,-176.0,4.567,0.034,-0.034,0.811,0.359,-0.066,295.01907,43.959839,15.862,-0.004521507791939323,-0.03507054980924939,-0.13224382883425606,-0.9243322368149809
0,1,0,0,20.413052415,1.594e-06,-1.594e-06,140.0167643,6.46e-05,-6.46e-05,0.777,0.015,-0.001,4.4621,0.00394,-0.00394,92672.0,83.2,-83.2,35.03,10.8,-3.6,668.0,47.14,42.49,-13.89,1620.8,1.0,5941.0,158.0,-193.0,4.487,0.054,-0.216,0.963,0.297,-0.099,291.30069,49.495689,14.874,0.012192232078262633,-0.03506991406846382,0.9112093731568347,-0.4720925201378813
0,0,0,0,9.99115241,5.857e-05,-5.857e-05,134.39335,0.00451,-0.00451,0.691,0.275,-0.454,2.657,0.126,-0.126,391.7,25.5,-25.5,1.68,0.05,-0.12,660.0,44.77,6.21,-8.28,16.7,2.0,4838.0,77.0,-77.0,4.524,0.063,-0.018,0.796,0.027,-0.054,285.17334,48.770039,15.311,-0.08455321296763518,-0.03507145283313774,-0.27710058924600356,-0.3263262699466453
0,0,0,0,2.252976718,8.335e-06,-8.335e-06,132.23957,0.00322,-0.00322,0.157,0.303,-0.157,1.7131,0.0779,-0.0779,467.9,24.9,-24.9,1.19,0.07,-0.06,795.0,94.26,19.31,-16.63,21.7,1.0,4039.0,80.0,-80.0,4.708,0.023,-0.03,0.559,0.031,-0.031,291.23148,47.033932,15.794,-0.0845016893398735,-0.03507145282527254,-0.2698565717000119,0.04087525707346864
0,0,0,0,1.213672208,2.149e-06,-2.149e-06,131.94978,0.0015,-0.0015,7.3743,3.198,-5.814,1.3644,0.0816,-0.0816,2731.0,125.0,-125.0,697.14,305.5,-65.86,1789.0,2422.45,3108.91,-682.38,24.8,2.0,6113.0,153.0,-199.0,4.463,0.049,-0.303,0.995,0.436,-0.094,290.26767,44.712849,14.912,1.8876969418965739,-0.024073642039573045,-0.1702520489380012,0.6233324123070867
0,1,0,0,111.31980522,2.065e-05,-2.065e-05,226.648705,0.000144,-0.000144,0.234,0.004,-0.006,23.0078,0.0115,-0.0115,62705.0,21.3,-21.3,63.68,21.63,-9.25,539.0,20.01,19.6,-6.39,3433.7,1.0,5022.0,125.0,-88.0,3.562,0.132,-0.181,2.58,0.876,-0.375,290.51163,44.556019,12.439,-0.020824086188589858,-0.03507097233255375,-0.12854462097463648,-0.5031605905340937
0,0,1,0,1.27620899,1.318e-05,-1.318e-05,131.6866,0.0102,-0.0102,0.276,0.185,-0.276,2.169,0.246,-0.246,186.2,18.5,-18.5,1.46,0.44,-0.18,1851.0,2769.8,2453.35,-919.23,11.4,3.0,6304.0,169.0,-225.0,4.435,0.065,-0.195,1.058,0.32,-0.128,295.69138,48.90377,15.534,-0.08661597601719769,-0.03507145304972158,-0.28064892698730126,0.6292169041893141
