Threshold,N_Features,Test_Accuracy,Test_F1,Blind_Accuracy,Blind_F1
90%,8,0.7682926829268293,0.7516957184190642,0.7820121951219512,0.76520909994404
95%,9,0.7667682926829268,0.7515399946489555,0.7682926829268293,0.7483668644590552
99%,9,0.7667682926829268,0.7515399946489555,0.7682926829268293,0.7483668644590552
