,0
sy_pnum,0.908264
soltype_encoded,0.02880388
pl_orbper,0.011571964
sy_vmag,0.011482706
sy_kmag,0.010976949
sy_gaiamag,0.009864682
st_rad,0.009591879
sy_dist,0.00944401
sy_snum,0.0
discoverymethod_encoded,0.0
disc_facility_encoded,0.0
pl_controv_flag,0.0
ttv_flag,0.0
