Threshold,N_Features,Test_Accuracy,Test_F1,Blind_Accuracy,Blind_F1
90%,22,0.9773869346733668,0.9769970484559546,0.9548872180451128,0.9524452768061792
95%,33,0.9773869346733668,0.9764924597000069,0.9573934837092731,0.9548232130768798
99%,46,0.9736180904522613,0.9728714812556349,0.9598997493734336,0.9578230068455633
