Threshold,N_Features,Test_Accuracy,Test_F1,Blind_Accuracy,Blind_F1
90%,31,0.7896341463414634,0.7769326163039162,0.7987804878048781,0.7802592860573228
95%,35,0.801829268292683,0.7894728720325611,0.8125,0.7952686626146762
99%,37,0.7949695121951219,0.7806432398351708,0.7972560975609756,0.7757490036187669
