Threshold,N_Features,Test_Accuracy,Test_F1,Blind_Accuracy,Blind_F1
90%,1,0.9170854271356784,0.8836510796210421,0.9147869674185464,0.8819214347168561
95%,4,0.9346733668341709,0.9322461914270966,0.9398496240601504,0.9351576785787312
99%,7,0.9447236180904522,0.9396884678828284,0.9348370927318296,0.932349285652757
